,Close,compound,negative,neutral,positive,Open,High,Low,Volume
151,155.809998,0.4215,0.245,0.319,0.436,159.75,160.360001,154.970001,76957800.0
152,154.529999,0.0,0.0,1.0,0.0,156.470001,157.089996,153.690002,73714800.0
153,155.960007,0.5719,0.0,0.575,0.425,154.820007,156.669998,153.610001,87449600.0
154,154.460007,0.0,0.0,1.0,0.0,154.639999,156.360001,152.679993,84923800.0
155,157.369995,0.0,0.0,1.0,0.0,155.470001,157.820007,154.75,68028800.0
156,163.429993,0.0,0.0,1.0,0.0,159.589996,164.259995,159.300003,104956000.0
157,153.839996,-0.296,0.306,0.694,0.0,159.899994,160.539993,153.369995,122656600.0
158,155.309998,-0.6249,0.451,0.549,0.0,154.789993,157.100006,153.610001,87965400.0
159,152.369995,0.0,0.0,1.0,0.0,154.649994,155.240005,151.380005,90481100.0
160,150.699997,0.0,0.0,1.0,0.0,151.210007,151.350006,148.369995,162278800.0
161,154.479996,0.1027,0.333,0.294,0.373,149.309998,154.559998,149.100006,81474200.0
162,156.899994,0.0,0.0,1.0,0.0,153.399994,158.080002,153.080002,107689800.0
163,153.720001,-0.7184,0.5,0.5,0.0,157.339996,158.740005,153.600006,101696800.0
164,152.740005,0.0,0.0,1.0,0.0,152.380005,154.470001,150.910004,86652500.0
165,150.429993,0.0,0.0,1.0,0.0,151.190002,151.470001,148.559998,96029900.0
166,150.770004,0.0,0.0,1.0,0.0,149.660004,153.770004,149.639999,93339400.0
167,151.759995,0.0,0.0,1.0,0.0,152.740005,154.720001,149.949997,84442700.0
168,149.839996,0.0,0.0,1.0,0.0,147.639999,150.639999,144.839996,146691400.0
169,142.479996,0.0,0.0,1.0,0.0,146.100006,146.720001,140.679993,128138200.0
170,138.199997,0.0,0.0,1.0,0.0,141.279999,143.100006,138.0,124925300.0
171,142.449997,0.5719,0.0,0.575,0.425,138.210007,143.070007,137.690002,114311700.0
172,146.100006,0.0,0.0,1.0,0.0,145.029999,146.220001,144.259995,87830100.0
173,146.399994,0.0,0.0,1.0,0.0,144.070007,147.380005,143.009995,79471000.0
174,145.429993,-0.4019,0.278,0.722,0.0,145.809998,147.539993,145.220001,68402200.0
175,140.089996,0.0,0.0,1.0,0.0,142.539993,143.100006,139.449997,85925600.0
176,140.419998,0.0,0.0,1.0,0.0,140.419998,141.889999,138.570007,74899000.0
177,138.979996,0.0,0.0,1.0,0.0,139.899994,141.350006,138.220001,77033700.0
178,138.339996,0.0,0.0,1.0,0.0,139.130005,140.360001,138.160004,70433700.0
179,142.990005,0.0,0.0,1.0,0.0,134.990005,143.589996,134.369995,113224000.0
180,138.380005,0.0,0.0,1.0,0.0,144.309998,144.520004,138.190002,88598000.0
181,142.410004,0.1027,0.333,0.294,0.373,141.070007,142.899994,140.270004,85250900.0
182,143.75,0.0,0.0,1.0,0.0,145.490005,146.699997,140.610001,99136600.0
183,143.860001,-0.7184,0.5,0.5,0.0,141.690002,144.949997,141.5,61758300.0
184,143.389999,0.0,0.0,1.0,0.0,143.020004,145.889999,142.649994,64522000.0
185,147.270004,0.0,0.0,1.0,0.0,142.869995,147.850006,142.649994,86548600.0
186,149.449997,0.5093,0.0,0.477,0.523,147.190002,150.229996,146.0,75981900.0
187,152.339996,0.0,0.0,1.0,0.0,150.089996,152.490005,149.360001,74732300.0
188,149.350006,0.0,0.0,1.0,0.0,150.960007,151.990005,148.039993,88194300.0
189,144.800003,-0.4445,0.306,0.535,0.159,148.070007,149.050003,144.130005,109180200.0
190,155.740005,0.0,0.0,1.0,0.0,148.199997,157.5,147.820007,164762400.0
191,153.339996,0.0,0.0,1.0,0.0,153.160004,154.240005,151.919998,97943200.0
192,150.649994,0.5719,0.0,0.575,0.425,155.080002,155.449997,149.130005,80379300.0
193,145.029999,0.0,0.0,1.0,0.0,148.949997,152.169998,145.0,93604600.0
